,PctKidsBornNeverMar,PctKids2Par,PctFam2Par,racePctWhite,PctTeen2Par,PctYoungKids2Par,racepctblack,pctWInvInc,FemalePctDiv,crime_rate
PctKidsBornNeverMar,1.0,-0.8659888680948036,-0.8466019151002233,-0.8045945028519036,-0.8106723983370809,-0.8223508111324525,0.8149091419387062,-0.6278022978645769,0.5315851098008981,0.6866645227634779
PctKids2Par,-0.8659888680948036,1.0,0.9855957981261065,0.7130020153974621,0.911793817832422,0.9328727246863767,-0.7404828221632491,0.7536403377903534,-0.740434759315307,-0.6840592475204202
PctFam2Par,-0.8466019151002233,0.9855957981261065,1.0,0.653815041600762,0.9211219210912102,0.9396635987464712,-0.7098763075730177,0.7128443088235208,-0.7556376774149023,-0.649761955419987
racePctWhite,-0.8045945028519036,0.7130020153974621,0.653815041600762,1.0,0.6352830144478295,0.6145036333342188,-0.820605265338329,0.5996966655970701,-0.46532716731318147,-0.6471642143036503
PctTeen2Par,-0.8106723983370809,0.911793817832422,0.9211219210912102,0.6352830144478295,1.0,0.8461812491645146,-0.7038634958418716,0.6229698063640394,-0.692040295994099,-0.6169632119474218
PctYoungKids2Par,-0.8223508111324525,0.9328727246863767,0.9396635987464712,0.6145036333342188,0.8461812491645146,1.0,-0.6682000009154528,0.7133185990709185,-0.6778858812923592,-0.6118838502202687
racepctblack,0.8149091419387062,-0.7404828221632491,-0.7098763075730177,-0.820605265338329,-0.7038634958418716,-0.6682000009154528,1.0,-0.5048657237280268,0.4497798299601592,0.5905804806932204
pctWInvInc,-0.6278022978645769,0.7536403377903534,0.7128443088235208,0.5996966655970701,0.6229698063640394,0.7133185990709185,-0.5048657237280268,1.0,-0.6445307187011214,-0.5345632807210242
FemalePctDiv,0.5315851098008981,-0.740434759315307,-0.7556376774149023,-0.46532716731318147,-0.692040295994099,-0.6778858812923592,0.4497798299601592,-0.6445307187011214,1.0,0.5130175845587994
crime_rate,0.6866645227634779,-0.6840592475204202,-0.649761955419987,-0.6471642143036503,-0.6169632119474218,-0.6118838502202687,0.5905804806932204,-0.5345632807210242,0.5130175845587994,1.0
